model,fold,bin,mean_predicted,observed_rate,n
xgboost,validation_2023_2024,9,0.9428828358650208,0.9166666666666666,24
xgboost,validation_2023_2024,5,0.5998749136924744,0.0,1
xgboost,validation_2023_2024,6,0.6439281105995178,0.6666666666666666,6
xgboost,validation_2023_2024,7,0.741439700126648,0.25,4
xgboost,validation_2023_2024,8,0.864232063293457,1.0,12
xgboost,validation_2023_2024,9,0.9405609369277954,0.9629629629629629,27
xgboost,validation_2023_2024,5,0.58794105052948,0.0,1
xgboost,validation_2023_2024,6,0.6581928730010986,0.6666666666666666,9
xgboost,validation_2023_2024,8,0.8682727813720703,0.9285714285714286,14
xgboost,validation_2023_2024,9,0.948979377746582,0.9615384615384616,26
xgboost,validation_2023_2024,5,0.5943253636360168,1.0,1
xgboost,validation_2023_2024,6,0.6626921892166138,0.7142857142857143,7
xgboost,validation_2023_2024,7,0.712924599647522,0.5,2
xgboost,validation_2023_2024,8,0.8740990161895752,0.8333333333333334,12
xgboost,validation_2023_2024,9,0.9431909918785095,0.8928571428571429,28
xgboost,validation_2023_2024,5,0.5569533109664917,0.5,2
xgboost,validation_2023_2024,6,0.6609870791435242,0.5,4
xgboost,validation_2023_2024,7,0.7350183725357056,0.6,5
xgboost,validation_2023_2024,8,0.8680436015129089,0.8461538461538461,13
xgboost,validation_2023_2024,9,0.9333086013793945,0.8846153846153846,26
xgboost,validation_2023_2024,5,0.577049970626831,0.5,2
xgboost,validation_2023_2024,6,0.6673257946968079,0.5714285714285714,7
xgboost,validation_2023_2024,7,0.738383948802948,1.0,3
xgboost,validation_2023_2024,8,0.8762156963348389,0.8888888888888888,9
xgboost,validation_2023_2024,9,0.9417477250099182,0.896551724137931,29
xgboost,validation_2023_2024,6,0.6326349377632141,0.42857142857142855,7
xgboost,validation_2023_2024,7,0.7525945901870728,1.0,5
xgboost,validation_2023_2024,8,0.877146303653717,1.0,6
xgboost,validation_2023_2024,9,0.9401029944419861,0.9375,32
xgboost,validation_2023_2024,5,0.5567402839660645,1.0,3
xgboost,validation_2023_2024,6,0.657655656337738,0.3333333333333333,6
xgboost,validation_2023_2024,7,0.7549393773078918,1.0,1
xgboost,validation_2023_2024,8,0.8743272423744202,0.8888888888888888,9
xgboost,validation_2023_2024,9,0.9405574798583984,0.8064516129032258,31
xgboost,validation_2023_2024,5,0.5918110013008118,1.0,1
xgboost,validation_2023_2024,6,0.6704180240631104,0.75,8
xgboost,validation_2023_2024,7,0.7730621099472046,0.0,1
xgboost,validation_2023_2024,8,0.8625348210334778,0.9,10
xgboost,validation_2023_2024,9,0.9388729333877563,0.9333333333333333,30
xgboost,validation_2023_2024,5,0.5598204135894775,1.0,2
xgboost,validation_2023_2024,6,0.6529803276062012,0.4,5
xgboost,validation_2023_2024,7,0.723167896270752,1.0,3
xgboost,validation_2023_2024,8,0.866593062877655,0.8888888888888888,9
xgboost,validation_2023_2024,9,0.9351973533630371,0.9032258064516129,31
xgboost,validation_2023_2024,5,0.5433716773986816,0.5,2
xgboost,validation_2023_2024,6,0.6463753581047058,0.5,4
xgboost,validation_2023_2024,7,0.7492344379425049,1.0,4
xgboost,validation_2023_2024,8,0.8682935833930969,0.8666666666666667,15
xgboost,validation_2023_2024,9,0.9374030828475952,0.88,25
xgboost,validation_2023_2024,5,0.5680000185966492,0.3333333333333333,3
xgboost,validation_2023_2024,6,0.6649250984191895,1.0,6
xgboost,validation_2023_2024,7,0.7412709593772888,0.5,2
xgboost,validation_2023_2024,8,0.8606683015823364,0.9333333333333333,15
xgboost,validation_2023_2024,9,0.9447706341743469,1.0,24
xgboost,validation_2023_2024,5,0.5688527822494507,0.5,2
xgboost,validation_2023_2024,6,0.6841302514076233,0.5,4
xgboost,validation_2023_2024,7,0.7261500358581543,0.75,4
xgboost,validation_2023_2024,8,0.8699851632118225,0.8181818181818182,11
xgboost,validation_2023_2024,9,0.9415740370750427,0.8275862068965517,29
xgboost,validation_2023_2024,4,0.4925099015235901,1.0,1
xgboost,validation_2023_2024,6,0.6549524664878845,0.5,8
xgboost,validation_2023_2024,7,0.7498837113380432,1.0,1
